name,org_nr,address,post_code,post_area,rating,price_level,user_ratings_total,agg_grade,mean_inspection_type,total_inspections,website,reservable,dine_in,mean_grade,count_grade_0,count_grade1,count_grade2,count_grade3,latlng
Espresso House Continental ,813091542,OLAV VS GATE 2,0161,OSLO,4.1,2,1108.0,12,0.4545454545454545,11,1,,,1.0909090909090908,4,2,5,0,"[59.913911, 10.732993]"
Espresso House Flytogterminalen ,914800099,Jernbanetorget 1,0154,OSLO,3.6,2,303.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.910875, 10.750737]"
Espresso House Glasmagasinet ,918590072,Stortorvet 9,0155,OSLO,4.0,2,625.0,5,0.2,5,1,,,1.0,1,3,1,0,"[59.913118, 10.745489]"
Espresso House Nordregate Oslo,925060070,Nordre gate 18,0551,OSLO,3.9,2,394.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.921217, 10.757539]"
Espresso House Norge AS Avd Linderud Senter 862,822625312,Erich Mogensøns vei 38,0594,OSLO,3.3,2,32.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.943242, 10.835473]"
Espresso House Norge AS avd Bogstadveien 813,814266052,BOGSTADVEIEN 36 A,0366,OSLO,3.8,2,220.0,7,0.25,8,1,,,0.875,3,3,2,0,"[59.926705, 10.720348]"
Espresso House Norge AS avd Ullevål Stadion 869,924372281,Sognsveien 75-77,0855,OSLO,3.7,2,12.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.9610695, 10.7350328]"
Espresso House Oslo S Hovedhall ,921632649,Jernbanetorget 1,0154,OSLO,3.5,2,58.0,2,0.3333333333333333,3,1,,,0.6666666666666666,2,0,1,0,"[59.910875, 10.750737]"
Espresso House Parkveien,913091515,PARKVEIEN 27,0350,OSLO,4.0,2,492.0,10,0.3333333333333333,9,1,,,1.1111111111111112,3,3,2,1,"[59.92053, 10.727542]"
Espresso House Solli Plass ,916589131,HENRIK IBSENS GATE 90,0255,OSLO,4.2,2,460.0,4,0.1428571428571428,7,1,,,0.5714285714285714,4,2,1,0,"[59.914573, 10.719421]"
Espresso House Torshov,917379351,VOGTS GATE 46,0477,OSLO,4.0,2,303.0,3,0.1428571428571428,7,1,,,0.4285714285714285,5,1,1,0,"[59.934497, 10.764116]"
Espresso House Valkyriegaten ,913091558,VALKYRIEGATA 9,0366,OSLO,4.0,2,719.0,7,0.1428571428571428,7,1,,,1.0,1,5,1,0,"[59.928906, 10.717581]"
Estar Sushi,914291933,KIRKEVEIEN 48,0368,OSLO,4.0,,74.0,11,0.5,10,1,,,1.1,5,0,4,1,"[59.927601, 10.712935]"
Even Espressobar AS,922675317,Mandallsgate 10,0190,OSLO,4.9,,14.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.91109471764, 10.763213853707157]"
Eventyrfabrikken,922570094,Sandakerveien 24c,0473,OSLO,3.8,,455.0,0,0.0,1,1,,,0.0,1,0,0,0,"[59.9373936, 10.7673181]"
FLY CHICKEN,920623077,Stenersgata 1A,050,OSLO,3.9,2,170.0,2,0.0,2,1,,,1.0,0,2,0,0,"[59.912606, 10.751543]"
FLY CHICKEN,924397411,Torggata 9A,0181,OSLO,4.2,,248.0,1,0.0,2,1,,,0.5,1,1,0,0,"[59.913948, 10.747912]"
FRESH SUSHI HELSFYR AS,923423990,Grensesvingen 7,0661,OSLO,4.2,,121.0,3,0.3333333333333333,3,1,,,1.0,1,1,1,0,"[59.914092, 10.798645]"
FYR Bistronomi & bar,916888082,UNDERHAUGSVEIEN 28,0354,OSLO,4.5,3,424.0,2,0.1666666666666666,6,1,,,0.3333333333333333,5,0,1,0,"[59.923859, 10.726099]"
Far East,971665270,BERNT ANKERSGATE 4,0183,OSLO,4.2,1,404.0,16,0.5384615384615384,13,1,,,1.2307692307692308,6,0,5,2,"[59.915191851905746, 10.75330758121506]"
Farine AS,825886192,Normannsgata 44,0655,OSLO,4.7,2,136.0,1,0.0,1,1,,,1.0,0,1,0,0,"[59.911606, 10.781575]"
Feinschmecker Restaurant,872051732,Balchensgate 5,0265,OSLO,4.9,4,139.0,12,0.4545454545454545,11,1,,,1.0909090909090908,4,2,5,0,"[59.91841555569246, 10.707879881704173]"
